,explicit,key,mode,danceability,loudness,speechiness,energy,valence,acousticness,tempo,instrumentalness,liveness,popularidad_predicha
Song_3117,0,8,1,0.84,-7.25,0.74,0.40,0.85,0.72,80.49,0.47,0.67,60.97
Song_3118,1,5,0,0.53,-16.15,0.38,0.16,0.76,0.92,135.12,0.21,0.11,60.66
Song_3119,1,1,0,0.03,-58.55,0.46,0.16,0.81,0.78,115.47,0.90,0.29,63.20
Song_3120,1,0,1,0.99,-41.10,0.61,0.45,0.91,0.79,116.02,0.46,0.81,62.49
Song_3121,1,1,1,0.07,-52.26,0.91,0.13,0.51,0.87,158.24,0.60,0.93,62.75
Song_3122,0,0,1,0.70,-50.71,0.25,0.29,0.84,0.26,151.83,0.63,0.41,61.20
Song_3123,1,9,0,0.44,-42.55,0.45,0.07,0.70,0.43,192.03,0.08,0.96,62.31
Song_3124,0,9,1,0.25,-55.52,0.31,0.30,0.46,0.88,160.57,0.35,0.93,60.82
Song_3125,0,8,0,0.68,-45.42,0.47,0.53,0.19,0.07,144.98,0.36,0.85,61.40
Song_3126,1,9,0,0.13,-2.58,0.70,0.74,0.43,0.06,84.62,0.72,0.75,60.99
Song_3127,1,11,1,0.86,-41.28,0.48,0.83,0.21,0.65,126.73,0.68,0.53,62.37
Song_3128,1,7,1,0.25,-50.42,0.83,0.34,0.29,0.91,129.60,0.99,0.21,62.97
Song_3129,0,6,1,0.36,-16.90,0.55,0.94,0.28,0.79,149.44,0.73,0.25,59.95
Song_3130,1,2,1,0.63,-10.29,0.39,0.24,0.76,0.80,111.25,0.22,0.16,61.26
Song_3131,1,7,0,0.00,-41.16,0.78,0.08,0.51,0.36,80.35,0.35,0.85,62.40
Song_3132,0,1,1,0.47,-43.29,0.43,0.93,0.79,0.59,182.99,0.17,0.01,60.24
Song_3133,1,1,0,0.89,-45.49,0.52,0.54,0.88,0.77,64.54,0.86,0.27,62.47
Song_3134,0,10,1,0.68,-36.40,0.99,0.35,0.61,0.79,78.89,0.85,0.61,58.91
Song_3135,1,9,1,0.39,-54.77,0.79,0.90,0.41,0.58,123.86,0.91,0.99,61.41
Song_3136,0,2,1,0.66,-19.85,0.86,0.78,0.86,0.80,184.43,0.66,0.30,59.87
Song_3137,1,6,0,0.94,-10.67,0.59,0.83,0.57,0.03,74.35,0.27,0.21,62.59
Song_3138,1,0,1,0.19,-20.18,0.35,0.29,0.86,0.94,163.27,0.90,0.08,63.00
Song_3139,0,7,0,0.53,-34.73,0.99,0.87,0.27,0.87,100.11,0.27,0.28,59.77
Song_3140,0,11,1,0.23,-42.66,0.24,0.65,0.57,0.05,70.63,0.38,0.83,61.08
Song_3141,1,6,1,0.85,-35.43,0.87,0.74,0.21,0.42,185.30,0.02,0.13,62.21
Song_3142,0,3,0,0.72,-34.57,0.91,0.31,0.70,0.92,196.14,0.58,0.15,59.53
Song_3143,0,4,0,0.80,-20.04,0.82,0.25,0.59,0.51,78.46,0.44,0.14,59.29
Song_3144,0,9,1,0.94,-4.32,0.11,0.41,0.56,0.09,185.45,0.65,0.12,61.37
Song_3145,0,0,1,0.23,-55.76,0.85,0.58,0.64,0.97,150.73,0.97,0.45,59.94
Song_3146,1,3,0,0.05,-2.80,0.66,0.67,0.38,0.36,88.21,0.06,0.83,61.49
Song_3147,1,0,1,0.29,-5.39,0.68,0.50,0.19,0.52,154.01,0.09,0.46,61.22
Song_3148,0,0,0,0.40,-52.94,0.79,0.70,0.81,0.63,173.59,0.56,0.54,60.06
Song_3149,0,9,1,0.63,-48.98,0.49,0.71,0.38,0.83,129.13,1.00,0.57,60.02
Song_3150,0,0,0,0.80,-41.30,0.27,0.67,0.99,0.87,187.31,0.29,0.39,60.34
Song_3151,0,6,0,0.35,-26.42,0.57,0.25,0.48,0.65,133.99,0.54,0.34,59.43
Song_3152,1,6,0,0.47,-51.93,0.11,0.45,0.49,0.95,85.96,0.20,0.63,63.22
Song_3153,1,3,0,0.79,-47.98,0.67,0.77,0.68,0.22,159.30,0.53,0.35,62.69
Song_3154,0,11,0,0.23,-5.84,0.48,0.89,0.67,0.90,154.76,0.18,0.12,60.78
Song_3155,0,1,1,0.22,-53.44,0.50,0.50,0.18,0.19,149.66,0.18,0.86,61.11
Song_3156,0,11,1,0.59,-36.07,0.19,0.99,0.27,0.89,183.18,0.34,0.59,61.05
Song_3157,1,2,1,0.44,-14.22,0.04,0.17,0.23,0.22,133.91,0.94,0.83,62.40
Song_3158,0,7,1,0.95,-6.69,0.61,0.22,0.05,0.72,158.59,0.66,0.48,60.34
Song_3159,1,7,1,0.36,-39.84,0.66,0.46,0.02,0.82,193.65,0.37,0.64,65.02
Song_3160,0,10,1,0.76,-50.13,0.50,0.51,0.64,0.39,79.29,0.64,0.92,60.50
Song_3161,1,10,1,0.58,-15.78,0.77,0.42,0.50,0.11,114.11,0.20,0.75,59.65
Song_3162,0,5,1,0.05,-13.65,0.56,0.43,0.89,0.36,90.63,0.64,0.35,59.88
Song_3163,1,9,1,0.08,-1.20,0.85,0.49,0.30,0.06,105.34,0.92,0.33,61.23
Song_3164,0,8,0,0.20,-51.63,0.29,0.32,0.79,0.66,131.48,0.94,0.27,60.21
Song_3165,0,10,0,0.14,-17.43,0.24,0.13,0.10,0.70,178.36,0.59,0.48,60.34
Song_3166,0,11,1,0.33,-34.96,0.26,0.96,0.82,0.27,115.93,0.88,0.92,59.91
Song_3167,1,8,0,0.58,-5.12,0.03,0.79,0.92,0.65,138.11,0.39,0.02,63.25
Song_3168,0,3,1,0.60,-35.53,0.90,0.81,0.63,0.06,173.71,0.89,0.76,59.48
Song_3169,1,11,0,0.59,-33.24,1.00,0.36,0.74,0.03,189.94,0.33,0.35,61.95
Song_3170,1,0,0,0.12,-52.39,0.82,0.40,0.99,0.41,108.95,0.70,0.81,62.42
Song_3171,0,0,0,0.60,-40.74,0.41,0.94,0.38,0.48,84.91,0.92,0.43,60.18
Song_3172,0,11,1,0.41,-35.95,0.35,0.97,0.03,0.02,141.50,0.57,0.72,61.48
Song_3173,0,9,1,0.90,-58.95,0.77,0.94,0.68,0.59,185.41,0.27,0.84,59.09
Song_3174,1,4,1,0.91,-33.75,0.51,0.64,0.01,0.83,94.79,0.70,0.47,63.64
Song_3175,0,1,1,0.77,-39.82,0.94,0.24,0.57,0.41,129.92,0.11,0.73,59.78
Song_3176,1,5,0,0.70,-11.77,0.28,0.60,0.60,0.75,128.04,0.35,0.07,60.59
Song_3177,1,6,1,0.11,-53.57,0.32,0.59,0.58,0.15,189.79,0.90,0.30,62.79
Song_3178,0,0,0,0.08,-14.39,1.00,0.91,0.17,0.53,123.94,0.74,0.32,60.13
Song_3179,0,5,1,0.84,-17.16,0.98,0.31,0.08,0.79,135.08,0.05,0.48,59.87
Song_3180,0,7,0,0.43,-45.49,0.89,0.20,0.91,0.68,79.36,0.57,0.65,60.20
Song_3181,0,11,0,0.45,-55.00,0.40,0.27,0.54,0.78,124.15,0.25,0.47,60.70
Song_3182,0,4,0,0.85,-9.49,0.84,0.24,0.32,0.72,107.85,0.01,0.84,60.91
Song_3183,0,11,0,0.62,-45.03,0.28,0.65,0.77,0.12,91.03,0.27,0.26,61.43
Song_3184,1,6,1,0.18,-51.27,0.25,0.81,0.92,0.10,131.21,0.77,0.13,62.97
Song_3185,1,9,1,0.21,-38.46,0.55,0.37,0.40,0.98,167.92,0.40,0.37,62.58
Song_3186,1,5,0,0.01,-35.95,0.86,0.18,0.10,0.48,84.74,0.27,0.24,62.71
Song_3187,0,3,1,0.71,-40.43,0.10,0.34,0.69,0.73,79.82,1.00,0.59,59.96
Song_3188,1,6,1,0.49,-1.41,0.57,0.55,0.91,0.68,77.40,0.58,0.57,61.03
Song_3189,1,9,0,0.95,-7.15,0.61,0.66,0.98,0.04,166.83,0.22,0.74,60.94
Song_3190,1,8,1,0.71,-7.62,0.58,0.55,0.81,0.50,170.33,0.20,0.79,61.39
Song_3191,1,9,1,0.10,-36.07,0.22,0.26,0.27,0.52,184.42,0.10,0.14,64.32
Song_3192,1,9,1,0.16,-2.23,0.06,0.92,0.36,0.81,194.98,0.61,0.34,61.96
Song_3193,0,6,0,0.50,-18.96,0.89,0.44,0.14,0.96,112.84,0.88,0.08,59.51
Song_3194,0,11,1,0.92,-10.08,0.57,0.46,0.71,0.29,107.66,0.86,0.68,60.83
Song_3195,1,4,0,0.25,-29.95,0.77,0.97,0.17,0.06,198.81,0.94,0.80,62.53
Song_3196,1,6,0,0.83,-50.36,0.36,0.87,0.43,0.48,79.90,0.02,0.96,62.56
Song_3197,1,2,0,0.31,-6.79,0.04,0.81,0.53,0.03,65.84,0.56,0.96,61.85
Song_3198,0,1,1,0.27,-30.81,0.26,0.18,0.38,0.39,113.92,0.92,0.63,59.91
Song_3199,0,10,1,0.90,-1.89,0.07,0.84,0.15,0.27,72.33,0.90,0.74,62.02
Song_3200,1,4,1,0.05,-44.71,0.08,0.46,0.29,0.24,113.65,0.27,0.21,65.77
Song_3201,0,3,0,0.66,-0.46,0.21,0.21,0.63,0.00,117.62,0.50,0.58,60.71
Song_3202,0,4,1,0.04,-46.65,0.63,0.99,0.73,0.25,149.42,0.10,0.33,60.23
Song_3203,1,7,0,0.80,-37.91,0.82,0.17,0.61,0.32,164.18,0.27,0.11,61.91
Song_3204,0,11,1,0.83,-24.36,0.82,0.92,0.97,0.91,150.69,0.99,0.49,58.82
Song_3205,0,3,0,0.89,-18.40,0.94,0.00,0.61,0.09,159.01,0.59,0.42,60.92
Song_3206,1,8,1,0.19,-16.78,0.66,0.44,0.23,0.77,111.66,1.00,0.07,61.74
Song_3207,0,6,1,0.12,-31.42,0.02,0.03,0.49,0.72,123.91,0.02,0.95,60.62
Song_3208,0,9,1,0.50,-55.39,0.38,0.91,0.84,0.33,160.01,0.97,0.96,59.60
Song_3209,1,11,0,0.27,-30.24,0.11,0.13,0.33,0.91,80.64,0.35,0.56,63.21
Song_3210,0,6,0,0.61,-39.92,0.78,0.67,0.74,0.66,159.69,0.08,0.94,59.16
Song_3211,0,7,1,0.51,-20.54,0.12,0.63,0.79,0.10,193.22,0.09,0.26,60.90
Song_3212,1,11,0,0.14,-49.06,0.11,0.78,0.93,0.20,84.59,0.34,0.79,63.27
Song_3213,1,5,0,0.74,-36.37,0.03,0.75,0.40,0.40,115.22,0.47,0.95,64.40
Song_3214,1,7,0,0.80,-2.03,0.96,0.03,0.26,0.97,141.39,0.09,0.40,61.37
Song_3215,0,2,1,0.96,-54.67,0.79,0.39,0.51,0.26,160.54,0.85,0.30,60.52
Song_3216,1,9,1,0.40,-23.86,0.33,0.32,0.99,0.43,95.28,0.49,0.69,62.05
Song_3217,0,9,1,0.34,-54.56,0.38,0.97,0.90,0.56,141.84,0.36,0.47,60.65
Song_3218,1,0,0,0.19,-50.58,0.06,0.77,0.28,0.36,190.91,0.52,0.38,63.54
Song_3219,0,5,1,0.18,-23.70,0.16,0.71,0.20,0.70,110.04,0.49,0.78,60.83
Song_3220,1,0,0,0.32,-33.36,0.31,0.44,0.48,0.66,139.67,0.10,0.24,62.29
Song_3221,1,8,0,0.98,-27.09,0.39,0.89,0.17,0.06,147.37,0.05,0.69,62.86
Song_3222,1,1,1,0.09,-7.21,0.62,0.02,0.76,0.43,184.22,0.68,0.39,61.54
Song_3223,1,10,1,0.26,-10.97,0.35,0.23,0.04,0.78,103.53,0.49,0.26,62.76
Song_3224,0,1,1,0.09,-6.72,0.95,0.70,0.22,0.64,182.21,0.02,0.93,59.54
Song_3225,1,6,0,0.27,-23.02,0.34,0.51,0.02,0.46,154.29,0.67,0.25,64.33
Song_3226,1,1,0,0.09,-30.62,0.94,0.53,0.23,0.73,160.37,0.71,0.39,62.33
Song_3227,0,9,1,0.51,-32.45,0.73,0.42,0.05,0.67,69.28,0.97,0.62,59.88
Song_3228,1,7,0,0.44,-15.61,0.90,0.17,0.67,0.84,109.92,0.63,0.06,60.30
Song_3229,0,5,1,0.17,-28.72,0.70,0.17,0.57,0.05,76.52,0.28,0.10,60.32
Song_3230,1,6,1,0.17,-53.65,0.57,0.29,0.21,0.54,138.62,0.24,0.63,63.13
Song_3231,1,6,1,0.63,-51.48,0.51,0.47,0.21,0.66,177.27,0.46,0.59,62.41
Song_3232,1,5,1,0.39,-38.58,0.29,0.82,0.29,0.68,117.40,0.09,0.60,63.23
Song_3233,0,9,1,0.06,-55.93,0.30,0.45,0.80,0.92,91.58,0.50,0.59,60.51
Song_3234,1,10,1,0.92,-45.65,0.22,0.90,0.15,0.41,102.65,0.33,0.83,62.58
Song_3235,1,8,0,0.40,-20.62,0.39,0.12,0.12,0.80,140.25,0.83,0.33,61.78
Song_3236,1,8,0,0.59,-59.25,0.13,0.27,0.51,0.79,167.45,0.69,0.18,63.37
Song_3237,0,6,1,0.89,-23.75,0.39,0.07,0.86,0.27,156.58,0.26,0.90,59.90
Song_3238,0,8,1,0.40,-13.66,0.83,0.51,0.22,0.27,191.90,0.48,0.56,60.11
Song_3239,1,9,0,0.82,-49.79,0.87,0.09,0.11,0.94,183.74,0.72,0.79,64.05
Song_3240,0,2,0,0.91,-49.14,0.64,0.80,0.49,0.32,74.69,0.17,0.19,60.98
Song_3241,1,2,1,0.17,-58.27,0.26,0.04,0.73,0.41,158.52,0.97,0.46,63.00
Song_3242,1,0,1,0.89,-29.25,0.24,0.48,0.62,0.60,115.11,0.09,0.12,62.89
Song_3243,1,4,0,0.12,-20.72,0.28,0.42,0.42,0.32,107.06,0.95,0.10,63.09
Song_3244,1,3,1,0.28,-32.59,0.50,0.20,0.04,0.66,126.62,0.02,0.45,63.64
Song_3245,1,1,0,0.81,-36.63,0.98,0.59,0.30,0.29,167.28,0.48,0.60,62.80
Song_3246,1,8,1,0.90,-32.74,0.11,0.39,0.92,0.53,118.35,0.29,0.93,62.68
Song_3247,1,2,0,0.68,-13.11,0.50,0.20,0.22,0.56,174.95,0.97,0.05,60.53
Song_3248,0,7,1,0.10,-57.99,0.68,0.83,0.61,0.80,126.07,0.86,0.37,60.39
Song_3249,0,5,1,0.52,-12.97,0.25,0.66,0.91,0.86,68.45,0.90,0.74,59.83
Song_3250,0,4,1,0.57,-20.02,0.97,0.01,0.49,0.68,148.25,0.49,0.30,59.25
Song_3251,0,0,0,0.28,-45.51,0.35,0.50,0.45,0.27,169.31,0.11,0.75,60.80
Song_3252,0,3,1,0.99,-28.52,0.93,0.27,0.14,0.46,104.24,0.25,0.95,59.81
Song_3253,0,2,0,0.34,-57.04,0.60,0.92,0.98,0.56,91.10,0.53,0.59,60.32
Song_3254,0,0,0,0.21,-37.22,0.00,0.73,0.18,0.30,149.62,0.39,0.25,61.93
Song_3255,1,11,0,0.11,-49.56,0.31,0.61,0.48,0.94,109.37,0.33,0.60,63.41
Song_3256,1,4,0,0.38,-58.66,0.02,0.09,0.17,0.11,186.81,0.30,0.30,66.15
Song_3257,1,5,1,0.69,-38.57,0.38,0.93,0.35,0.83,167.35,0.23,0.17,62.34
Song_3258,1,1,1,0.23,-16.43,0.93,0.14,0.88,0.43,124.57,0.54,0.79,59.80
Song_3259,0,2,1,0.77,-4.74,0.78,0.45,0.64,0.95,196.58,0.69,0.66,60.67
Song_3260,0,10,0,0.14,-20.26,0.62,0.68,0.01,0.53,108.23,0.69,0.85,60.78
Song_3261,1,5,1,0.44,-35.88,0.54,0.49,0.97,0.73,122.25,0.04,0.87,61.48
Song_3262,1,3,0,0.70,-0.03,0.37,0.88,0.78,0.73,150.85,0.03,0.36,60.98
Song_3263,0,8,0,0.14,-43.02,0.21,0.84,1.00,0.70,131.68,0.09,0.11,61.11
Song_3264,1,4,0,0.60,-48.77,0.06,0.14,0.76,0.05,108.21,0.02,0.47,64.58
Song_3265,1,3,1,0.80,-32.18,0.19,0.62,0.76,0.62,118.49,0.44,0.35,62.64
Song_3266,1,1,0,0.60,-29.71,0.35,0.05,0.70,0.89,180.92,0.05,0.63,62.73
Song_3267,1,5,1,0.51,-38.71,0.52,0.72,0.42,0.84,87.75,0.44,0.84,62.28
Song_3268,0,9,1,0.84,-18.27,0.20,0.74,0.31,0.91,104.47,0.34,0.61,60.37
Song_3269,1,1,1,0.99,-48.97,0.97,0.34,0.53,0.44,87.79,0.06,0.01,63.11
Song_3270,1,11,0,0.18,-29.38,0.08,0.79,0.18,0.45,131.71,0.08,0.60,64.32
Song_3271,0,6,1,0.69,-29.99,0.09,0.65,0.72,0.81,82.53,0.77,0.13,59.95
Song_3272,0,2,0,0.08,-10.57,0.68,0.50,1.00,0.30,83.96,0.72,0.32,60.77
Song_3273,1,8,0,0.04,-4.38,0.76,0.46,0.60,0.77,176.80,0.29,0.24,60.73
Song_3274,0,10,0,0.28,-20.20,0.97,0.11,0.86,0.50,158.42,0.13,0.50,59.33
Song_3275,1,4,0,0.97,-41.68,0.53,0.53,0.17,0.26,86.39,0.36,0.79,64.72
Song_3276,1,7,1,0.55,-18.62,0.17,0.16,0.83,0.64,114.13,0.48,0.04,61.91
Song_3277,0,10,1,0.27,-44.92,0.94,0.66,0.91,0.30,188.36,0.52,0.06,60.32
Song_3278,1,5,1,0.13,-2.01,0.98,0.59,0.84,0.67,181.82,0.02,0.96,59.71
Song_3279,1,11,1,0.92,-10.66,0.92,0.29,0.63,0.57,151.63,0.60,0.44,60.45
Song_3280,1,9,0,0.36,-34.13,0.87,0.25,0.93,0.72,99.76,0.63,0.74,61.63
Song_3281,1,7,0,0.31,-12.94,0.08,0.48,0.96,0.60,112.26,0.64,0.88,60.94
Song_3282,0,10,0,0.86,-35.48,0.85,0.51,0.82,0.76,151.46,0.63,0.38,59.40
Song_3283,0,11,0,0.60,-55.52,0.95,0.80,0.55,1.00,138.47,0.96,0.55,59.88
Song_3284,1,2,1,0.17,-17.59,0.55,0.30,0.84,0.47,138.49,0.71,0.87,60.02
Song_3285,0,2,1,0.42,-35.72,0.77,0.40,0.37,0.60,119.27,0.32,0.60,59.26
Song_3286,1,4,0,0.93,-4.18,0.66,0.34,0.35,0.10,72.63,0.81,0.19,62.73
Song_3287,1,10,0,0.90,-41.61,0.29,0.39,0.35,0.95,77.02,0.43,0.60,63.45
Song_3288,1,9,0,0.07,-9.40,0.59,0.57,0.20,0.60,176.95,0.06,0.97,61.31
Song_3289,1,2,0,0.27,-19.17,0.89,0.56,0.62,0.10,183.78,0.65,0.99,60.73
Song_3290,1,7,1,0.15,-8.80,0.50,0.36,0.66,0.40,185.12,0.38,0.91,61.14
Song_3291,0,9,0,0.53,-42.49,0.59,0.60,0.86,0.08,126.44,0.93,0.72,60.27
Song_3292,1,11,1,0.75,-32.32,0.53,0.62,0.69,0.50,190.97,0.34,0.88,61.77
Song_3293,0,7,1,0.30,-10.61,0.28,0.53,0.78,0.28,177.28,0.05,0.41,61.15
Song_3294,0,1,0,0.76,-21.37,0.64,0.45,0.69,0.34,113.78,0.95,0.34,59.61
Song_3295,1,11,0,0.67,-38.40,0.51,0.08,0.70,0.07,91.22,0.83,0.99,62.38
Song_3296,1,3,1,0.73,-29.28,0.23,0.54,0.34,0.76,162.00,0.98,0.88,62.19
Song_3297,1,9,1,0.95,-0.23,0.90,0.71,0.97,0.84,161.54,0.18,0.11,59.85
Song_3298,1,0,0,0.42,-15.49,0.95,0.22,0.64,0.14,184.63,0.02,0.81,60.49
Song_3299,1,3,1,0.34,-23.13,0.06,0.78,0.59,0.75,67.07,0.95,0.01,62.67
Song_3300,0,11,0,0.68,-10.33,0.62,0.59,0.85,0.13,109.36,0.74,0.43,60.72
Song_3301,1,10,0,0.81,-33.48,0.42,0.24,0.42,0.09,64.88,0.86,0.08,62.65
Song_3302,1,3,1,0.19,-3.00,0.53,0.16,0.10,0.11,89.45,0.00,0.37,62.34
Song_3303,0,9,1,0.85,-26.88,0.37,0.25,0.24,0.03,115.94,0.66,0.81,60.55
Song_3304,0,8,0,0.06,-40.39,0.47,0.76,0.81,0.38,77.23,0.71,0.15,61.25
Song_3305,1,2,0,0.01,-54.84,0.32,0.25,0.73,0.95,175.12,0.34,0.35,63.82
Song_3306,0,1,1,0.16,-37.46,0.12,0.68,0.12,0.90,88.40,0.47,0.26,61.03
Song_3307,1,8,1,0.98,-25.88,0.30,0.55,0.07,0.33,117.59,0.13,0.13,63.34
Song_3308,0,8,1,0.52,-17.81,0.67,0.55,0.62,0.79,172.24,0.08,0.97,59.20
Song_3309,0,0,1,0.05,-7.49,0.05,0.85,0.94,0.82,76.34,0.81,0.43,60.58
Song_3310,1,5,0,1.00,-3.36,0.38,0.87,0.17,0.15,146.75,0.82,0.02,61.76
Song_3311,0,9,0,0.74,-53.85,0.04,0.54,0.55,0.23,191.67,0.23,0.68,61.99
Song_3312,0,7,0,0.84,-23.95,0.36,0.07,0.81,0.69,123.60,0.82,0.52,59.45
Song_3313,0,2,1,0.21,-20.00,0.09,0.16,0.53,0.26,93.62,0.36,0.82,60.77
Song_3314,0,10,1,0.11,-49.68,0.34,0.95,0.35,0.94,192.05,0.29,0.36,60.57
Song_3315,0,8,0,0.52,-27.26,0.84,0.13,0.79,0.23,67.59,0.79,0.91,59.63
Song_3316,0,1,1,0.77,-39.91,0.61,0.84,0.77,0.80,103.62,0.71,0.03,60.24
Song_3317,1,5,1,0.64,-55.35,0.68,0.54,0.83,0.76,174.43,0.64,0.52,61.87
Song_3318,1,0,1,0.63,-56.05,0.50,0.11,0.95,0.50,81.55,0.80,0.49,62.79
Song_3319,0,6,1,0.76,-14.45,0.92,0.92,0.15,0.26,71.77,0.86,0.01,59.47
Song_3320,1,2,1,0.23,-23.07,0.54,0.93,0.34,0.03,124.12,0.95,0.06,62.69
Song_3321,1,6,1,0.66,-17.09,0.10,0.62,0.99,0.83,106.45,0.62,0.29,60.82
Song_3322,1,3,0,0.39,-18.88,0.93,0.39,0.59,0.38,171.60,0.09,0.57,60.21
Song_3323,0,8,0,0.07,-51.94,0.13,0.61,0.67,0.34,107.20,0.35,0.21,61.40
Song_3324,1,4,0,0.20,-50.91,1.00,0.63,0.88,0.04,153.78,0.13,0.18,62.47
Song_3325,0,2,0,0.79,-44.85,0.44,0.62,0.69,0.15,138.43,0.12,0.14,60.87
Song_3326,1,7,1,0.90,-36.05,0.07,0.73,0.68,0.37,143.58,0.99,0.93,61.72
Song_3327,0,5,0,0.28,-3.65,0.86,0.07,0.10,0.69,131.56,0.18,0.56,59.92
Song_3328,0,1,0,0.19,-19.57,0.09,0.10,0.51,0.21,78.96,0.74,0.25,60.33
Song_3329,1,2,0,0.03,-44.69,0.17,0.28,0.67,0.16,68.68,0.78,0.97,62.81
Song_3330,1,7,0,0.95,-56.64,0.42,0.35,0.81,0.26,136.15,0.49,0.41,63.36
Song_3331,0,9,1,0.68,-18.95,0.68,0.64,0.41,0.28,150.92,0.00,0.11,60.16
Song_3332,1,6,1,0.96,-22.48,0.12,0.17,0.12,0.41,161.55,0.73,0.51,63.01
Song_3333,1,9,0,0.86,-19.45,0.62,0.54,0.37,0.36,161.10,0.95,0.44,61.98
Song_3334,1,5,0,0.34,-44.33,0.78,0.19,0.43,0.07,163.64,0.77,0.62,63.75
Song_3335,0,0,1,0.11,-28.98,0.12,0.36,0.75,0.62,62.85,0.53,0.70,60.20
Song_3336,0,8,1,0.50,-38.30,0.65,0.94,0.02,0.13,91.29,0.59,0.35,61.32
Song_3337,1,2,0,0.03,-10.94,0.96,0.90,0.39,0.87,162.14,0.16,0.17,61.12
Song_3338,1,4,1,0.15,-55.84,0.97,0.95,0.45,0.86,77.30,0.88,0.41,62.02
Song_3339,1,6,1,0.23,-43.47,0.16,0.59,0.55,0.07,86.12,0.60,0.50,64.20
Song_3340,0,6,0,0.67,-23.82,0.76,0.50,0.97,0.41,152.34,0.25,0.47,59.33
Song_3341,0,2,1,0.51,-47.69,0.85,0.85,0.74,0.48,173.14,0.10,0.03,59.53
Song_3342,1,3,0,0.30,-19.64,0.89,0.08,0.22,1.00,82.75,0.27,0.79,62.75
Song_3343,1,9,0,0.56,-51.79,0.32,0.98,0.63,0.25,137.12,0.77,0.34,63.87
Song_3344,1,6,1,0.13,-58.63,0.27,0.46,0.35,0.64,85.39,0.96,0.29,62.74
Song_3345,1,7,1,0.76,-8.19,0.05,0.68,0.81,0.46,89.20,0.23,0.21,61.66
Song_3346,1,1,1,0.71,-39.99,0.40,0.73,0.17,0.77,127.48,0.31,0.58,62.29
Song_3347,1,8,1,0.22,-50.59,0.12,0.63,0.14,0.25,154.34,0.81,0.59,64.51
Song_3348,0,6,1,0.61,-49.64,0.79,0.89,0.10,0.68,140.39,0.73,0.43,60.52
Song_3349,1,7,1,0.50,-6.85,0.14,0.29,0.54,0.13,72.94,0.12,0.67,62.01
Song_3350,0,5,0,0.06,-20.73,0.82,0.53,0.12,0.02,99.98,0.91,0.04,59.94
Song_3351,1,5,1,0.28,-2.62,0.11,0.43,0.04,0.02,191.34,0.23,0.80,62.36
Song_3352,1,8,0,1.00,-12.00,0.48,0.70,0.33,0.49,147.87,0.77,0.26,61.01
Song_3353,0,3,1,0.10,-13.95,0.38,0.40,0.80,0.77,152.14,0.65,0.47,59.84
Song_3354,0,10,1,0.51,-30.01,0.60,0.89,0.16,0.58,89.56,0.47,0.75,60.01
Song_3355,0,10,1,0.85,-10.75,0.52,0.49,0.36,0.04,194.15,0.09,0.17,61.82
Song_3356,0,4,1,0.30,-35.24,0.60,0.54,0.44,0.55,88.91,0.89,0.90,59.61
Song_3357,1,8,1,0.26,-10.38,0.00,0.49,0.88,0.11,95.16,0.53,0.14,65.87
Song_3358,0,0,0,0.89,-14.54,0.13,0.62,0.48,0.97,131.41,0.11,0.81,59.80
Song_3359,1,3,0,0.30,-19.29,0.52,0.51,0.51,0.35,129.44,0.48,0.40,62.00
Song_3360,0,6,0,0.65,-40.22,0.23,0.94,0.25,0.50,64.57,0.10,0.16,60.80
Song_3361,1,10,1,0.74,-22.16,0.08,0.13,0.67,0.34,164.13,0.37,0.87,63.46
Song_3362,1,8,1,0.79,-29.59,0.22,0.01,0.03,0.47,73.50,0.12,0.73,65.24
Song_3363,1,10,1,0.99,-32.31,0.78,0.52,0.96,0.96,67.56,0.26,0.23,62.07
Song_3364,1,11,0,0.80,-0.59,0.54,0.76,0.50,0.26,131.00,0.81,0.67,60.72
Song_3365,1,9,0,0.66,-29.74,0.19,0.65,0.06,0.72,66.75,0.23,0.16,63.99
Song_3366,1,5,1,0.90,-58.08,0.02,0.96,0.56,0.76,88.09,0.64,0.98,63.21
Song_3367,0,11,0,0.91,-22.41,0.36,0.18,0.51,0.19,114.73,0.23,0.55,60.26
Song_3368,1,7,1,0.97,-16.32,0.36,0.69,0.24,0.73,144.44,0.62,0.15,59.97
Song_3369,0,8,1,0.78,-6.89,0.74,0.82,0.21,0.65,169.58,0.74,0.07,59.99
Song_3370,0,9,0,0.19,-22.04,0.92,0.91,0.27,0.29,100.54,0.10,0.63,59.74
Song_3371,1,3,0,0.71,-58.83,0.37,0.53,0.13,0.52,125.97,0.85,0.64,62.47
Song_3372,0,0,0,0.08,-52.82,0.69,0.36,0.53,0.59,193.57,0.91,0.98,59.43
Song_3373,1,7,0,0.32,-50.33,0.63,0.96,0.88,0.84,114.63,0.37,0.50,62.73
Song_3374,0,1,1,0.12,-47.32,0.42,0.79,0.92,0.12,159.35,0.88,0.34,59.77
Song_3375,1,10,1,0.95,-12.01,0.07,0.47,0.95,0.97,97.99,0.12,0.71,60.76
Song_3376,0,0,0,0.34,-41.41,0.47,0.65,0.60,0.77,147.25,0.43,0.80,60.05
Song_3377,1,6,0,0.71,-41.26,0.35,0.28,0.62,0.53,172.66,0.16,0.69,63.16
Song_3378,1,11,0,0.57,-14.66,0.55,0.61,0.31,0.78,187.99,0.96,0.74,59.91
Song_3379,1,9,0,0.11,-35.25,0.13,0.54,0.89,0.73,191.25,0.77,0.69,63.00
